State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Tuesday,11:00am - 11:30am,Ballina Library,44 Cherry Street Ballina NSW 2478,AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Wednesday,9:30am - 10:00am,Alstonville Library,8-10 Church Street Alstonville NSW 2477,AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Wednesday,10:30am - 11:00am,Lennox Head Library,1 Mackney Lane Lennox Head NSW 2478,AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Friday,10:30am - 11:00am,Lennox Head Library,1 Mackney Lane Lennox Head NSW 2478,AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Wednesday,10:30am - 11:00am,Byron Bay Library,69 Jonson Street Byron Bay NSW 2481,AEDT,Not available in school holidays or public holidays
NSW,Byron Shire Council,Babytime,infant_session,"Baby Time is aimed at infants from 2 months to 2 years and especially designed to introduce your baby to the joy of sharing the rhythm and rhyme of nursery rhymes, finger plays, poems and songs. Each session involves a combination of singing, clapping, musical instruments, rhymes and lots and lots of fun interaction with your baby.",0 - 2 years,Friday,10:30am - 11:00am,Brunswick Heads Library,7 Fingal Street Brunswick Heads NSW 2483,AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Rhyme Time,rhymetime,"Join us at Rhyme Time for simple stories, songs, and rhymes for babies, toddlers, and their carers.",0 - 3 years,Wednesday,10:30am - 11:00am,South Hurstville Library,"Corner of Short and, Allen St, South Hurstville NSW 2221",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Mandarin Rhyme Time,ESL,"Join us for Mandarin Rhyme Time with simple stories, songs and rhymes in Mandarin and English for babies, toddlers, and their carers.  NOTE: this only runs second and fourth Wednesday of the month",0 - 3 years,Wednesday,10:30am - 11:00am,Hurstville Library,"Corner Dora Street and, Queens Rd, Hurstville NSW 2220",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Cantonese Rhyme Time,ESL,"Join us for Cantonese Rhyme Time with simple stories, songs and rhymes in Cantonese and English for babies, toddlers, and their carers.  NOTE: this only runs on the third Wednesday of the month",0 - 3 years,Wednesday,10:30am - 11:00am,Hurstville Library,"Corner Dora Street and, Queens Rd, Hurstville NSW 2220",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Tuesday,10:30am - 11:00am,Ryde Library,"1 Pope Street, Ryde NSW 2112",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Wednesday,10:30am - 11:00am,Ryde Library,"1 Pope Street, Ryde NSW 2112",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Wednesday,10:30am - 11:00am,West Ryde Library,"2 Graf Avenue, West Ryde NSW 2114",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Friday,10:30am - 11:00am,West Ryde Library,"2 Graf Avenue, West Ryde NSW 2114",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Bilingual Rhymetime (alternating between Mandarin and Korean) ,ESL,"Introduce your baby to popular rhymes, songs, and fingerplays.  NOTE: this alternates between Mandarin and Korean and only runs on the last Friday of the month.",0 - 3 years,Friday,10:30am - 11:00am,West Ryde Library,"2 Graf Avenue, West Ryde NSW 2114",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Wednesday,10:30am - 11:00am,Eastwood Library,"Cnr Hillview Road & West Parade, Eastwood NSW 2122",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Friday,10:30am - 11:00am,Eastwood Library,"Cnr Hillview Road & West Parade, Eastwood NSW 2122",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Monday ,2:00pm - 2:30pm,North Ryde Library,"201 Coxs Road, North Ryde NSW 2113",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Tuesday ,10:30am - 11:00am,North Ryde Library,"201 Coxs Road, North Ryde NSW 2113",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Rhymetime,rhymetime,"Introduce your baby to popular rhymes, songs, and fingerplays.",0 - 3 years,Friday,9:30am - 10:00am,Gladesville Library,"6 Pittwater Road, Gladesville NSW 2111",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Storytime ,toddler_session,Fun session of stories and songs to introduce your child to the wonderful world of books! Bookings not required.,0 - 3 years,Thursday,10:30am — 11:30am,Ryde Library,"1 Pope Street, Ryde NSW 2112",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Storytime - Bilingual Mandarin/English ,ESL,Fun session of stories and songs to introduce your child to the wonderful world of books! Bookings not required.,0 - 3 years,Thursday,10:30am — 11:30am,Eastwood Library,"Cnr Hillview Road and West Parade, Eastwood NSW 2122",AEDT,Not available in school holidays or public holidays
NSW,Ryde City Council,Storytime - Bilingual Mandarin/English ,ESL,Fun session of stories and songs to introduce your child to the wonderful world of books! Bookings not required.  NOTE: this only runs on the last Thursday of the month,0 - 3 years,Thursday,10:30am — 11:30am,North Ryde Library,"201 Coxs Road, North Ryde NSW 2113",AEDT,Not available in school holidays or public holidays
NSW,Willoughby City Council,Story Play,rhymetime,"Play, sing and hear stories at fun, free weekly sessions for babies, toddlers and preschoolers aged 0-4 years and their carers.",0 - 4 years,Thursday,10:00am - 10:30am,West Chatswood Library,"565 Mowbray Rd W, Lane Cove North NSW 2066",AEDT,Not available in school holidays or public holidays
NSW,Willoughby City Council,Story Play,rhymetime,"Play, sing and hear stories at fun, free weekly sessions for babies, toddlers and preschoolers aged 0-4 years and their carers.",0 - 4 years,Monday,10:00am - 10:30am,Artarmon Library,"139 Artarmon Rd, Artarmon NSW 2064",AEDT,Not available in school holidays or public holidays
NSW,Willoughby City Council,Story Play,rhymetime,"Play, sing and hear stories at fun, free weekly sessions for babies, toddlers and preschoolers aged 0-4 years and their carers.",0 - 4 years,Tuesday,10:00am - 10:30am,Northbridge Library,"258 Sailors Bay Rd, Northbridge NSW 2063",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Come and Play in Maroubra ,blocks,"Make a play date with the library. Drop in at any time throughout the session to enjoy lots of toys, games, learning and fun!  Note: this only runs on the 1st Friday of the month",0 - 5 years,Friday,10:00am - 12:00pm,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
